test_id,node,test_category,test_description,test,result,failure_reason
82,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
83,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
84,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
85,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
86,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Thirty,PASS,
87,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Forty,PASS,
88,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
89,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
90,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
91,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
92,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
93,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Thirty,PASS,
94,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Forty,PASS,
95,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
96,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
97,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
98,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Ten,PASS,
99,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Twenty,PASS,
100,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Thirty,PASS,
101,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan40 - Forty,PASS,
102,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf OVERLAY,PASS,
103,s1-brdr1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
104,s1-brdr2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
105,s1-leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
106,s1-leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
107,s1-leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
108,s1-leaf4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
109,s1-brdr1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
110,s1-brdr1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
111,s1-brdr2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
112,s1-brdr2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
113,s1-leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
114,s1-leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
115,s1-leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
116,s1-leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
117,s1-leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
118,s1-leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
119,s1-leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
120,s1-leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
121,s1-spine1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
122,s1-spine2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
123,s1-brdr1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-brdr2_Ethernet1,PASS,
124,s1-brdr1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-brdr2_Ethernet6,PASS,
125,s1-brdr1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet7,PASS,
126,s1-brdr1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet7,PASS,
127,s1-brdr2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-brdr1_Ethernet1,PASS,
128,s1-brdr2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-brdr1_Ethernet6,PASS,
129,s1-brdr2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet8,PASS,
130,s1-brdr2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet8,PASS,
131,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf2_Ethernet1,PASS,
132,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf2_Ethernet6,PASS,
133,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet2,PASS,
134,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet2,PASS,
135,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf1_Ethernet1,PASS,
136,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf1_Ethernet6,PASS,
137,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet3,PASS,
138,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet3,PASS,
139,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf4_Ethernet1,PASS,
140,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf4_Ethernet6,PASS,
141,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet4,PASS,
142,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet4,PASS,
143,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf3_Ethernet1,PASS,
144,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf3_Ethernet6,PASS,
145,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet5,PASS,
146,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet5,PASS,
147,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-leaf1_Ethernet2,PASS,
148,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-leaf2_Ethernet2,PASS,
149,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-leaf3_Ethernet2,PASS,
150,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: s1-leaf4_Ethernet2,PASS,
151,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: s1-brdr1_Ethernet2,PASS,
152,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet8 - remote: s1-brdr2_Ethernet2,PASS,
153,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-leaf1_Ethernet3,PASS,
154,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-leaf2_Ethernet3,PASS,
155,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-leaf3_Ethernet3,PASS,
156,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: s1-leaf4_Ethernet3,PASS,
157,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: s1-brdr1_Ethernet3,PASS,
158,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet8 - remote: s1-brdr2_Ethernet3,PASS,
159,s1-brdr1,MLAG,MLAG State active & Status connected,MLAG,PASS,
160,s1-brdr2,MLAG,MLAG State active & Status connected,MLAG,PASS,
161,s1-leaf1,MLAG,MLAG State active & Status connected,MLAG,PASS,
162,s1-leaf2,MLAG,MLAG State active & Status connected,MLAG,PASS,
163,s1-leaf3,MLAG,MLAG State active & Status connected,MLAG,PASS,
164,s1-leaf4,MLAG,MLAG State active & Status connected,MLAG,PASS,
165,s1-brdr1,IP Reachability,ip reachability test p2p links,Source: s1-brdr1_Ethernet2 - Destination: s1-spine1_Ethernet7,PASS,
166,s1-brdr1,IP Reachability,ip reachability test p2p links,Source: s1-brdr1_Ethernet3 - Destination: s1-spine2_Ethernet7,PASS,
167,s1-brdr2,IP Reachability,ip reachability test p2p links,Source: s1-brdr2_Ethernet2 - Destination: s1-spine1_Ethernet8,PASS,
168,s1-brdr2,IP Reachability,ip reachability test p2p links,Source: s1-brdr2_Ethernet3 - Destination: s1-spine2_Ethernet8,PASS,
169,s1-leaf1,IP Reachability,ip reachability test p2p links,Source: s1-leaf1_Ethernet2 - Destination: s1-spine1_Ethernet2,PASS,
170,s1-leaf1,IP Reachability,ip reachability test p2p links,Source: s1-leaf1_Ethernet3 - Destination: s1-spine2_Ethernet2,PASS,
171,s1-leaf2,IP Reachability,ip reachability test p2p links,Source: s1-leaf2_Ethernet2 - Destination: s1-spine1_Ethernet3,PASS,
172,s1-leaf2,IP Reachability,ip reachability test p2p links,Source: s1-leaf2_Ethernet3 - Destination: s1-spine2_Ethernet3,PASS,
173,s1-leaf3,IP Reachability,ip reachability test p2p links,Source: s1-leaf3_Ethernet2 - Destination: s1-spine1_Ethernet4,PASS,
174,s1-leaf3,IP Reachability,ip reachability test p2p links,Source: s1-leaf3_Ethernet3 - Destination: s1-spine2_Ethernet4,PASS,
175,s1-leaf4,IP Reachability,ip reachability test p2p links,Source: s1-leaf4_Ethernet2 - Destination: s1-spine1_Ethernet5,PASS,
176,s1-leaf4,IP Reachability,ip reachability test p2p links,Source: s1-leaf4_Ethernet3 - Destination: s1-spine2_Ethernet5,PASS,
177,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet2 - Destination: s1-leaf1_Ethernet2,PASS,
178,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet3 - Destination: s1-leaf2_Ethernet2,PASS,
179,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet4 - Destination: s1-leaf3_Ethernet2,PASS,
180,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet5 - Destination: s1-leaf4_Ethernet2,PASS,
181,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet7 - Destination: s1-brdr1_Ethernet2,PASS,
182,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet8 - Destination: s1-brdr2_Ethernet2,PASS,
183,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet2 - Destination: s1-leaf1_Ethernet3,PASS,
184,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet3 - Destination: s1-leaf2_Ethernet3,PASS,
185,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet4 - Destination: s1-leaf3_Ethernet3,PASS,
186,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet5 - Destination: s1-leaf4_Ethernet3,PASS,
187,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet7 - Destination: s1-brdr1_Ethernet3,PASS,
188,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet8 - Destination: s1-brdr2_Ethernet3,PASS,
189,s1-brdr1,BGP,ArBGP is configured and operating,ArBGP,PASS,
190,s1-brdr2,BGP,ArBGP is configured and operating,ArBGP,PASS,
191,s1-leaf1,BGP,ArBGP is configured and operating,ArBGP,PASS,
192,s1-leaf2,BGP,ArBGP is configured and operating,ArBGP,PASS,
193,s1-leaf3,BGP,ArBGP is configured and operating,ArBGP,PASS,
194,s1-leaf4,BGP,ArBGP is configured and operating,ArBGP,PASS,
195,s1-spine1,BGP,ArBGP is configured and operating,ArBGP,PASS,
196,s1-spine2,BGP,ArBGP is configured and operating,ArBGP,PASS,
197,s1-brdr1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.252.1.9,PASS,
198,s1-brdr1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.16,PASS,
199,s1-brdr1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.18,PASS,
200,s1-brdr1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.255.1,PASS,
201,s1-brdr2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.252.1.8,PASS,
202,s1-brdr2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.20,PASS,
203,s1-brdr2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.22,PASS,
204,s1-brdr2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.255.3,PASS,
205,s1-leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.252.1.1,PASS,
206,s1-leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.0,PASS,
207,s1-leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.2,PASS,
208,s1-leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.252.1.0,PASS,
209,s1-leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.4,PASS,
210,s1-leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.6,PASS,
211,s1-leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.252.1.5,PASS,
212,s1-leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.8,PASS,
213,s1-leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.10,PASS,
214,s1-leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.252.1.4,PASS,
215,s1-leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.12,PASS,
216,s1-leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.14,PASS,
217,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.1,PASS,
218,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.5,PASS,
219,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.9,PASS,
220,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.13,PASS,
221,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.17,PASS,
222,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.21,PASS,
223,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.3,PASS,
224,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.7,PASS,
225,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.11,PASS,
226,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.15,PASS,
227,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.19,PASS,
228,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.16.1.23,PASS,
229,s1-brdr1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.1,PASS,
230,s1-brdr1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.2,PASS,
231,s1-brdr1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.2.7,PASS,
232,s1-brdr2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.1,PASS,
233,s1-brdr2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.1.2,PASS,
234,s1-brdr2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 10.250.2.8,PASS,
